[Header],,,,,,
Investigator Name,Cwhalley,,,,,
Project Name,GB160121-KP-450k,,,,,
Experiment Name,Methylation 450K,,, ,,
Date,04/12/22,,,,,
[Manifests],,,,,,
A,HumanMethylation450_15017482_v.1.2.bpm,,,,,
[Data],,,,,,
Sample_Name,Sample_Well,Sample_Plate,Sample_Group,Pool_ID,Sentrix_ID,Sentrix_Position
107A,A02,,Plasma_DNA,,200053740023,R03C02
107N,B03,,Normal,,200053740092,R06C01
107M,C03,,Margin,,200053740092,R01C02
107C,D03,,Core,,200053740092,R02C02
199M,A01,,Margin,,200053740023,R01C01
199N,B01,,Normal,,200053740023,R02C01
264M,D01,,Margin,,200053740023,R04C01
264N,E01,,Normal,,200053740023,R05C01
276M,F01,,Margin,,200053740023,R06C01
276N,G01,,Normal,,200053740023,R01C02
288M,H01,,Margin,,200053740023,R02C02
107B,B02,,Plasma_DNA_6weeks,,200053740023,R04C02
107R,C02,,Plasma_DNA_Recurrance,,200053740023,R05C02
199B,E02,,Plasma_DNA_6weeks,,200053740092,R01C01
288N,E03,,Normal,,200053740092,R03C02
199A,A01,,Plasma_DNA,,200053740051,R01C01
264A,C01,,Plasma_DNA,,200053740051,R03C01
276A,E01,,Plasma_DNA,,200053740051,R05C01
288A,F01,,Plasma_DNA,,200053740051,R06C01
199C,G01,,Core,,200053740051,R01C02
264C,A02,,Core,,200053740051,R03C02
276C,C02,,Core,,200053740051,R05C02
288C,D02,,Core,,200053740051,R06C02
